family,target_id,noise,parameterization,rel_L2_C,coverage_90,mean_final_loss,max_final_loss
step,0,0.0,step,0.8352329565556164,0.0,0.001517195370979607,0.0016843838384374976
step,0,0.05,step,0.8303236646699694,0.0,0.0027205720078200104,0.002881845226511359
step,1,0.0,step,0.7436036477643098,0.0,0.0017048740759491921,0.0020423762034624815
step,1,0.05,step,0.7108411011648413,0.0,0.002016045362688601,0.002329734619706869
step,2,0.0,step,0.17338616649702748,0.5,0.000449971784837544,0.0006486769998446107
step,2,0.05,step,0.33168742871018264,0.4375,0.0014912061393260955,0.0018099291482940316
step,3,0.0,step,0.5921283411538255,0.875,0.0005820074991788715,0.0010342663154006004
step,3,0.05,step,0.5042846696485465,0.9375,0.00193965220823884,0.002359349513426423
step,4,0.0,step,0.8027667450048871,0.0625,0.0020887785824015735,0.00267578661441803
step,4,0.05,step,0.7869801548600857,0.125,0.0019968824461102487,0.0024150873068720102
step,5,0.0,step,0.8240609907621497,0.375,0.002669650036841631,0.002974910195916891
step,5,0.05,step,0.7967647503102026,0.0625,0.004767955467104912,0.005250800400972366
graded,0,0.0,step,0.8261053131410588,0.0,0.0017309701535850764,0.0019928039982914925
graded,0,0.05,step,0.8561594763776933,0.0,0.0023362997453659773,0.0025439669843763113
graded,1,0.0,step,0.6217957789498405,0.0625,0.00047052071895450356,0.0008048653835430741
graded,1,0.05,step,0.6100589302146608,0.0,0.0018373899394646287,0.0023676669225096703
graded,2,0.0,step,0.9151537561825589,0.0,0.004562726896256209,0.005815029144287109
graded,2,0.05,step,0.9046331576730955,0.0,0.0050546742044389244,0.006609577219933271
graded,3,0.0,step,0.5621324378210986,0.0,0.006907627684995532,0.010289397090673447
graded,3,0.05,step,0.5333549094095487,0.0,0.00819061677902937,0.011913441121578217
graded,4,0.0,step,0.7865091184623737,0.0,0.0015388336032629013,0.0018031683284789324
graded,4,0.05,step,0.6517775970393079,0.0,0.0038535742554813624,0.004217115696519613
graded,5,0.0,step,0.7354734308617958,0.0625,0.0023897523060441017,0.00305290799587965
graded,5,0.05,step,0.9551702252615905,0.0625,0.00266524120233953,0.0027932829689234495
